id,nr_matricol,nume,prenume,an,grupa,data_nastere,email,medie,inregistrat
1,690NU8,Mihai,Petruta Paula,3,A5,10-OCT-74,mihai.petruta@info.ro,6.58
2,182NY0,Tuiu,Emma,2,A3,21-JAN-74,tuiu.emma@info.ro,7.31
3,561NW4,Mangalagiu,Sabina Raluca,3,B3,08-JAN-74,mangalagiu.sabina@gmail.com,7
4,966PC2,Dudau,Aurelian,1,B1,21-JAN-74,dudau.aurelian@gmail.com,8
5,139IL1,Ambroci,Damian Laurentiu,3,B4,24-JUN-74,ambroci.damian@info.ro,6.63
6,165AD5,Iacob,Valeriu,1,B4,11-JUL-74,iacob.valeriu@gmail.com,7.5
7,173NH4,Stavarache,Irinel Razvan,2,A3,26-JUN-74,stavarache.irinel@gmail.com,6.81
8,771CT1,Tudose,Stefania Claudia,1,A4,06-JUN-74,tudose.stefania@info.ro,6.38
9,179QC6,Edu,Xena,2,A2,05-JAN-74,edu.xena@gmail.com,8.13
10,565KY2,Cazamir,Cristian Iulian,2,B6,13-AUG-74,cazamir.cristian@info.ro,7.06
11,191OF5,Tanasa,Ioan Giulio,3,A2,23-JUL-74,tanasa.ioan@gmail.com,6.92
12,256GJ0,Craciunas,Eusebiu,3,A6,13-MAY-74,craciunas.eusebiu@info.ro,6.75
13,349YG0,Lates,Denise Tudor,1,A3,04-FEB-74,lates.denise@gmail.com,6.75
14,685JW2,Lungeanu,Teodora Simona,3,B4,30-APR-74,lungeanu.teodora@gmail.com,6.42
15,670JO7,Leonte,Laurentiu Claudiu,1,A1,17-MAR-74,leonte.laurentiu@info.ro,7.5
16,599MI2,Cobuz,Matei,1,B5,19-MAR-74,cobuz.matei@info.ro,8.13
17,680AZ5,Perciun,Adina Iuliana,3,B4,14-AUG-74,perciun.adina@info.ro,6.13
18,558DU5,Leustean,Nicu Tudor,3,B2,01-JAN-74,leustean.nicu@info.ro,6.71
19,604RT1,Goldan,Anca,2,A4,03-JAN-74,goldan.anca@gmail.com,6.81
20,574GA0,Chistol,Theodora Stefana,2,A2,26-NOV-74,chistol.theodora@gmail.com,7.5
21,514ER3,Butacu,Anda,3,A5,17-FEB-74,butacu.anda@gmail.com,6.54
22,107UP0,Stefan,Sabina Loredana,2,B4,28-JAN-74,stefan.sabina@info.ro,7.44
23,815ZJ6,Popovici,Corneliu Dorian,3,A1,29-JAN-74,popovici.corneliu@gmail.com,6.42
24,107IB4,Leustean,Elisa Sabina,1,B2,11-FEB-74,leustean.elisa@info.ro,5.5
25,452OE4,Bejan,Ion Iosif,3,B3,06-MAY-74,bejan.ion@info.ro,6.25
26,978NS1,Dima,Mirela Ema,1,B4,24-NOV-74,dima.mirela@gmail.com,7.38
27,300NG2,Leustean,Denisa Bianca,3,A5,17-OCT-74,leustean.denisa@gmail.com,7.04
28,106HD7,Motrescu,Gabriel,3,A6,15-JAN-74,motrescu.gabriel@info.ro,6.54
29,706MP8,Balica,Raluca,1,B3,17-FEB-74,balica.raluca@gmail.com,6.5
30,561UB2,Chelaru,Iuliana,2,A2,13-APR-74,chelaru.iuliana@gmail.com,7.06
31,630NH0,Dascalu,Ioana Loredana,2,B1,13-NOV-74,dascalu.ioana@gmail.com,7.31
32,598NV0,Olariu,Camelia,1,B4,19-FEB-74,olariu.camelia@info.ro,8.13
33,155TK4,Sandu,Gabriel,3,A4,27-AUG-74,sandu.gabriel@gmail.com,6.46
34,728CJ3,Frunza,Tamara,3,A5,22-SEP-74,frunza.tamara@gmail.com,6.29
35,789QO1,Belciuganu,Vladut,1,A1,19-JAN-74,belciuganu.vladut@gmail.com,5.5
36,762FH1,Curca,Gabriela,3,B3,15-OCT-74,curca.gabriela@gmail.com,6.25
37,863DF5,Lates,Oana Paula,2,B6,01-NOV-74,lates.oana@info.ro,7.19
38,545WY6,Frunza,Roland,1,B4,22-JUL-74,frunza.roland@info.ro,6.75
39,595EJ8,Baetu,Stefan Constantin,3,A3,28-AUG-74,baetu.stefan@info.ro,6.42
40,962RT8,Mihaila,Theodora Camelia,3,A2,10-OCT-74,mihaila.theodora@gmail.com,6.29
41,387FA2,Tudose,Cristina,2,B1,24-NOV-74,tudose.cristina@gmail.com,7.19
42,800AE2,Iancu,Silviu Daniel,3,B6,03-JAN-74,iancu.silviu@gmail.com,6.5
43,281TL5,Ungureanu,Manuela Camelia,3,B6,23-DEC-74,ungureanu.manuela@gmail.com,6.33
44,375CW8,Benchea,Diana Raluca,3,B2,28-JUL-74,benchea.diana@info.ro,6.5
45,287GO2,Gorgan,Andra Teodora,3,A4,23-MAR-74,gorgan.andra@gmail.com,6.21
46,938EH7,Teclici,Elena Larisa,1,B5,24-APR-74,teclici.elena@info.ro,7.88
47,555EF4,Capusneanu,Larisa,2,B4,15-AUG-74,capusneanu.larisa@gmail.com,7.56
48,342DH7,Damoc,Alex Dumitru,3,A5,22-OCT-74,damoc.alex@info.ro,6.96
49,231BZ4,Bute,Monica Stefania,2,A1,19-JUN-74,bute.monica@gmail.com,7.19
50,955CZ5,Cernescu,Daria Stefana,3,A5,04-SEP-74,cernescu.daria@info.ro,6.33
51,540RX5,Dragoman,Loredana Daria,3,B3,07-OCT-74,dragoman.loredana@gmail.com,6.79
52,786ZU4,Danila,Cezar,3,A3,01-APR-74,danila.cezar@info.ro,6.21
53,591NJ7,Gherase,Anca,3,A4,17-JUL-74,gherase.anca@info.ro,6.58
54,607ER3,Leleu,Ema,3,A1,08-SEP-74,leleu.ema@info.ro,6.29
55,184PR1,Gherase,Stefana,1,A1,14-SEP-74,gherase.stefana@gmail.com,6.75
