ID,ID_CAMIN,NR_MATRICOL,NUME,PRENUME,GEN,AN,GRUPA,DATA_NASTERE,EMAIL,MEDIE,INREGISTRAT
388,0,169OX8,Simionesei,Sergiu,M,1,A1,30-SEP-74,simionesei.sergiu@info.ro,6.58,FALSE
389,0,813JD4,Moisa,Victor Giulio,M,2,B1,07-APR-74,moisa.victor@info.ro,7.31,FALSE
390,0,432AT3,Diaconu,Cristina Sanziana,F,2,A3,06-OCT-74,diaconu.cristina@gmail.com,7,FALSE
391,0,356TF1,Morosanu,Sabina,F,2,A4,13-JAN-74,morosanu.sabina@gmail.com,8,FALSE
392,0,573NE4,Adascalitei,Catalin Constantin,M,1,A6,04-MAY-74,adascalitei.catalin@gmail.com,6.63,FALSE
393,0,613IF4,Acasandrei,Larisa Eleonora,F,1,B4,01-OCT-74,acasandrei.larisa@gmail.com,7.5,FALSE
394,0,356AK8,Hardon,Malina Ioana,F,3,B4,18-JUN-74,hardon.malina@gmail.com,6.81,FALSE
395,0,810CG2,Hodoreanu,Daniel,M,2,A5,04-DEC-74,hodoreanu.daniel@info.ro,6.38,FALSE
396,0,617DM6,Zamosteanu,Damian,M,1,B6,17-JAN-74,zamosteanu.damian@info.ro,8.13,FALSE
397,0,859IW8,Piriu,Vladut,M,3,B1,23-FEB-74,piriu.vladut@gmail.com,7.06,FALSE
398,0,668CU8,Bursuc,Elisa,F,3,B3,04-NOV-74,bursuc.elisa@info.ro,6.92,FALSE
399,0,866QY7,Otrocol,Alin Denise,M,3,B6,12-AUG-74,otrocol.alin@info.ro,6.75,FALSE
400,0,632OF7,Andronic,Ilona Andreea,F,3,B3,08-NOV-74,andronic.ilona@info.ro,6.75,FALSE
401,0,318YC0,Scurtu,Mirela,F,1,A5,15-JUN-74,scurtu.mirela@gmail.com,6.42,FALSE
402,0,886CS0,Juravle,Anda Gabriela,F,3,B4,30-SEP-74,juravle.anda@gmail.com,7.5,FALSE
403,0,745FG6,Ilie,Xena,F,3,A2,27-JUN-74,ilie.xena@info.ro,8.13,FALSE
404,0,756GO5,Avram,Diana Tamara,F,3,B4,12-JUN-74,avram.diana@info.ro,6.13,FALSE
405,0,900MP6,Dodan,Iuliana,F,1,B3,13-SEP-74,dodan.iuliana@info.ro,6.71,FALSE
406,0,935GR2,Melniciuc-puica,Paula,F,2,A1,14-OCT-74,melniciuc-puica.paula@gmail.com,6.81,FALSE
407,0,172ES0,Herdes,Nicolae Dorian,M,2,A4,22-APR-74,herdes.nicolae@gmail.com,7.5,FALSE
408,0,497ON1,Corneanu,Petrut Emil,M,1,A4,22-SEP-74,corneanu.petrut@info.ro,6.54,FALSE
409,0,635NO3,Chirila,Claudiu Emil,M,2,A3,03-FEB-74,chirila.claudiu@gmail.com,7.44,FALSE
410,0,261PF2,Ursachi,Iustin Andreas,M,2,B4,06-JAN-74,ursachi.iustin@info.ro,6.42,FALSE
411,0,781EG7,Miron,Loredana,F,2,B6,19-SEP-74,miron.loredana@gmail.com,5.5,FALSE
412,0,106TI8,Jecu,Aurelian Octavian,M,3,B3,01-AUG-74,jecu.aurelian@gmail.com,6.25,FALSE
413,0,824FO3,Gavriliuc,Theodora,F,3,A3,18-MAR-74,gavriliuc.theodora@info.ro,7.38,FALSE
414,0,644OZ3,Cristea,Mirela Elisa,F,3,B1,08-MAY-74,cristea.mirela@gmail.com,7.04,FALSE
415,0,747JH4,Martinas,Sabina,F,2,B3,22-APR-74,martinas.sabina@info.ro,6.54,FALSE
416,0,130HP7,Apetrei,Malina,F,1,B1,22-SEP-74,apetrei.malina@gmail.com,6.5,FALSE
417,0,172FO8,Harabula,Mirela,F,3,B4,27-APR-74,harabula.mirela@info.ro,7.06,FALSE
418,0,903CF8,Curca,Paula,F,1,B1,07-AUG-74,curca.paula@gmail.com,7.31,FALSE
419,0,845OJ7,Stefanita,Gabriel Cosmin,M,3,B1,13-FEB-74,stefanita.gabriel@gmail.com,8.13,FALSE
420,0,520YF8,Turcu,Mihai Marius,M,1,B6,21-AUG-74,turcu.mihai@gmail.com,6.46,FALSE
421,0,816MK6,Ichim,Elisa,F,3,A6,21-SEP-74,ichim.elisa@info.ro,6.29,FALSE
422,0,331NU7,Andrian,Paula,F,1,B3,23-DEC-74,andrian.paula@info.ro,5.5,FALSE
423,0,759UV4,Dascalescu,Gabriela Daniela,F,3,B4,28-MAY-74,dascalescu.gabriela@gmail.com,6.25,FALSE
424,0,325DI3,Ferestraoaru,Danut,M,1,B1,18-SEP-74,ferestraoaru.danut@info.ro,7.19,FALSE
425,0,256PP4,Motroi,Gheorghe Ciprian,M,2,B5,24-JAN-74,motroi.gheorghe@gmail.com,6.75,FALSE
426,0,656PL2,Ivascu,Razvan Andreas,M,1,B6,29-DEC-74,ivascu.razvan@info.ro,6.42,FALSE
427,0,804UC8,Minea,Loredana,F,3,B5,21-SEP-74,minea.loredana@gmail.com,6.29,FALSE
428,0,691ID1,Minuti,Camelia,F,3,A2,16-JAN-74,minuti.camelia@gmail.com,7.19,FALSE
429,0,603EE0,Ciofu,Bianca,F,1,B4,05-MAY-74,ciofu.bianca@info.ro,6.5,FALSE
430,0,224IZ7,Arteni,Ilie,M,2,A2,29-OCT-74,arteni.ilie@info.ro,6.33,FALSE
431,0,621HW4,Diaconu,Vasilica,F,3,B5,31-DEC-74,diaconu.vasilica@info.ro,6.5,FALSE
432,0,983TJ0,Damian,Oana Gabriela,F,1,A2,28-MAY-74,damian.oana@gmail.com,6.21,FALSE
433,0,322QL1,Agape,Bianca,F,2,A4,08-MAY-74,agape.bianca@info.ro,7.88,FALSE
434,0,506GI1,Botezatu,Damian,M,3,A4,20-NOV-74,botezatu.damian@gmail.com,7.56,FALSE
435,0,933AB4,Varlan,Eleonora Loredana,F,1,B2,19-SEP-74,varlan.eleonora@info.ro,6.96,FALSE
436,0,433SX6,Nastaca,Alex,M,2,B6,06-JUL-74,nastaca.alex@info.ro,7.19,FALSE
437,0,329LH3,Damoc,Richard Laurentiu,M,1,A3,22-NOV-74,damoc.richard@info.ro,6.33,FALSE
438,0,192XY7,Cazacu,Damian Dan,M,3,B2,07-MAY-74,cazacu.damian@info.ro,6.79,FALSE
439,0,850MT0,Popa,Madalina,F,1,B2,31-AUG-74,popa.madalina@info.ro,6.21,FALSE
